DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Concentration of HDL particles (UKB data field 23430)	rs367070	36764567	cg24782875_TC11	37
Total cholesterol levels	rs367070	38116116	cg24782875_TC11	37
High density lipoprotein cholesterol levels	rs367070	34887591	cg24782875_TC11	37
Total cholesterol to total lipids ratio in medium HDL	rs367070	38448586	cg24782875_TC11	37
HDL cholesterol	rs367070	34594039	cg24782875_TC11	37
High density lipoprotein cholesterol levels	rs367070	34887591	cg24782875_TC11	37
High density lipoprotein cholesterol levels	rs367070	34887591	cg24782875_TC11	37
Multi-trait sex score	rs367070	37277458	cg24782875_TC11	37
Serum alkaline phosphatase levels	rs77243579	34594039	cg09948694_BC11	35
Heel bone mineral density	rs77243579	30048462	cg09948694_BC11	35
Liver enzyme levels (alkaline phosphatase)	rs77243579	33972514	cg09948694_BC11	35
Estimated glomerular filtration rate (creatinine)	rs60580012	35710981	cg22634401_TC11	42
Estimated glomerular filtration rate (creatinine)	rs60580012	34272381	cg22634401_TC11	42
Neuroticism conditioned on cognitive performance (multi-trait conditioning and joint analysis)	rs1860399	33349686	cg16063747_BC11	52
Oncostatin-M levels	rs3859189	37563310	cg14546197_BC11	10
Diastolic blood pressure	rs7989823	28135244	cg20327444_BC11	4
Diastolic blood pressure	rs7989823	27841878	cg20327444_BC11	4
Medication use (salicylic acid and derivatives)	rs7989823	34594039	cg20327444_BC11	4
Medication use (antithrombotic agents)	rs7989823	34594039	cg20327444_BC11	4
Ischemic stroke	rs7989823	34594039	cg20327444_BC11	4
Ischemic stroke	rs7989823	34594039	cg20327444_BC11	4
Medication use (antithrombotic agents)	rs7989823	34594039	cg20327444_BC11	4
Medication use (salicylic acid and derivatives)	rs7989823	34594039	cg20327444_BC11	4
Diastolic blood pressure	rs7989823	39134668	cg20327444_BC11	4
Self-reported math ability	rs76888998	30038396	cg08838364_TC11	37
Glaucoma (primary open-angle)	rs7126413	29891935	cg16757423_BC11	30
Platelet count	rs7126413	32888494	cg16757423_BC11	30
Educational attainment	rs7126413	35361970	cg16757423_BC11	30
Glaucoma (primary open-angle)	rs7126413	33627673	cg16757423_BC11	30
Gallstone disease	rs2291428	30504769	cg25074794_TC11	29
Total cholesterol levels	rs2291428	34887591	cg25074794_TC11	29
Total cholesterol levels	rs2291428	34887591	cg25074794_TC11	29
Mean corpuscular hemoglobin concentration	rs2291429	32888493	cg25074794_TC11	4
3-dehydrocarnitine levels	rs2291429	24816252	cg25074794_TC11	4
Total phosphoglycerides levels	rs2291429	38448586	cg25074794_TC11	4
Medication use for hypertension (number of purchases)	rs10740731	36653479	cg09873584_BC11	51
Predicted developmental stuttering	rs149787867	34861174	cg25295726_TC11	44
Lung function (FEV1/FVC)	rs58971913	36914875	cg22721579_TC11	44
Human papilloma virus 16 negative oropharyngeal cancer	rs75778090	34642315	cg13423759_BC11	22
Glycine levels	rs9923732	30837465	cg27486922_BC11	24
Glycine levels	rs9923732	33414548	cg27486922_BC11	24
Estimated glomerular filtration rate (creatinine)	rs9923732	35710981	cg27486922_BC11	24
High Gleason score in radical prostatectomy	rs200944490	34680357	cg05595345_TC11	9
Glutathione S-transferase Mu 3 levels	rs553240214	34648354	cg24506221_BC11	6
Glutathione S-transferase Mu 4 levels	rs553240214	34648354	cg24506221_BC11	6
TB-LM or TBLH-BMD (pleiotropy)	rs7501812	28743860	cg02097604_TC11	3
Myocardial infarction	rs7501812	38072966	cg02097604_TC11	3
Heel bone mineral density	rs763855108	30048462	cg14691529_TC11	14
Multiple sclerosis	rs4939490	31604244	cg16817237_BC11	24
Hay fever and/or eczema	rs4939490	31361310	cg16817237_BC11	24
Eczema	rs4939490	30595370	cg16817237_BC11	24
Multiple sclerosis	rs4939490	21244703	cg16817237_BC11	24
LY96/ST6GAL1 protein level ratio	rs79211218	38412862	cg25882256_TC11	6
Response to paliperidone in schizophrenia (CGI-S score)	rs9900497	27846195	cg25066224_BC11	2
Total testosterone levels	rs560515319	34321204	cg07749412_TC11	41
Gamma glutamyl transferase levels	rs150952015	33462484	cg08700690_TC11	36
C-reactive protein levels	rs150952015	33462484	cg08700690_TC11	36
C-reactive protein levels (MTAG)	rs150952015	36376304	cg08700690_TC11	36
Vaginal microbiome relative abundance (Lactobacillus crispatus or Lactobacillus iners or Gardnerella vaginalis) (pleiotropy)	rs4987059	34282934	cg14433983_TC11	27
MHC class I polypeptide-related sequence B levels	rs3135041	36168886	cg04398060_TC11	14
Multiple sclerosis	rs11256593	31604244	cg13914486_BC11	2
Multiple sclerosis	rs11256593	35545683	cg13914486_BC11	2
Systolic blood pressure	rs2289125	27841878	cg12161228_BC11	53
Pulse pressure	rs2289125	27841878	cg12161228_BC11	53
Pulse pressure	rs2289125	28135244	cg12161228_BC11	53
Pulse pressure	rs2289125	27841878	cg12161228_BC11	53
Pulse pressure	rs2289125	27841878	cg12161228_BC11	53
Systolic blood pressure	rs2289125	30487518	cg12161228_BC11	53
Height	rs2289125	31562340	cg12161228_BC11	53
Pulse pressure	rs2289125	30487518	cg12161228_BC11	53
Pulse pressure	rs2289125	30578418	cg12161228_BC11	53
Height	rs2289125	30595370	cg12161228_BC11	53
Systolic blood pressure	rs2289125	30595370	cg12161228_BC11	53
Pulse pressure	rs2289125	28739976	cg12161228_BC11	53
Pulse pressure	rs2289125	28739976	cg12161228_BC11	53
Pulse pressure	rs2289125	29403010	cg12161228_BC11	53
Aspartate aminotransferase levels	rs2289125	33547301	cg12161228_BC11	53
Pulse pressure	rs2289125	38689001	cg12161228_BC11	53
Pulse pressure	rs2289125	34594039	cg12161228_BC11	53
Diastolic blood pressure	rs2289125	38689001	cg12161228_BC11	53
Height	rs2289125	34594039	cg12161228_BC11	53
Descending aorta maximum area (MTAG)	rs2289125	35922433	cg12161228_BC11	53
Descending aorta maximum area	rs2289125	35922433	cg12161228_BC11	53
Height	rs2289125	34594039	cg12161228_BC11	53
Pulse pressure	rs2289125	34594039	cg12161228_BC11	53
Systolic blood pressure	rs2289125	34594039	cg12161228_BC11	53
Systolic blood pressure	rs2289125	38689001	cg12161228_BC11	53
Diastolic blood pressure	rs2289124	30578418	cg12161228_BC11	29
Pulse pressure	rs2289124	38459180	cg12161228_BC11	29
Insomnia	rs78144798	35835914	cg11525980_BC11	14
Mean platelet volume	rs76109311	32888493	cg14371731_BC14	29
Mean platelet volume	rs76109311	32888493	cg14371731_BC14	29
Mean platelet volume during first trimester of pregnancy	rs11557300	38064665	cg08923669_TC12	51
Diisocyanate-induced asthma	rs14271	25918132	cg07970040_TC11	15
Height	rs751476235	39134668	cg21384971_TC11	29
Mean corpuscular hemoglobin	rs2281841	27863252	cg04218760_BC11	36
Red blood cell count	rs2281841	27863252	cg04218760_BC11	36
Hematocrit	rs2281841	32888494	cg04218760_BC11	36
Hemoglobin	rs2281841	32888494	cg04218760_BC11	36
Red blood cell count	rs2281841	34594039	cg04218760_BC11	36
Estimated glomerular filtration rate	rs12024377	31152163	cg03220945_BC11	19
Estimated glomerular filtration rate	rs12024377	31152163	cg03220945_BC11	19
Estimated glomerular filtration rate (creatinine)	rs12024377	34272381	cg03220945_BC11	19
Plateletcrit	rs950200	32888494	cg15090440_BC11	39
Mean corpuscular hemoglobin	rs147598882	30595370	cg22870899_TC11	22
Protein quantitative trait loci (liver)	rs35986488	32778093	cg25087434_BC11	50
Neogenin levels	rs62016793	34648354	cg15888301_TC11	37
Dihydroorotate levels	rs117636273	36635386	cg01786994_BC11	50
Height	rs201158957	31562340	cg25792518_BC11	24
Height	rs201158957	34594039	cg25792518_BC11	24
Height	rs201158957	34594039	cg25792518_BC11	24
Basophil percentage of white cells	rs28730837	32888494	cg07110356_BC11	34
Basophil count	rs28730837	32888494	cg07110356_BC11	34
Lymphocyte percentage of white cells	rs28730837	32888494	cg07110356_BC11	34
Monocyte count	rs28730837	32888494	cg07110356_BC11	34
Monocyte percentage of white cells	rs28730837	32888494	cg07110356_BC11	34
Neutrophil percentage of white cells	rs28730837	32888494	cg07110356_BC11	34
Monocyte count	rs28730837	34469753	cg07110356_BC11	34
Basophil count	rs28730837	34469753	cg07110356_BC11	34
Neutrophil percentage of granulocytes	rs112691446	27863252	cg09111071_BC11	12
Mean corpuscular hemoglobin	rs35118024	34594039	cg19247841_BC11	51
Mean corpuscular volume	rs35118024	34594039	cg19247841_BC11	51
Aspartate aminotransferase to alanine aminotransferase ratio	rs145331563	33462484	cg09514524_TC11	6
Alanine aminotransferase levels	rs145331563	33462484	cg09514524_TC11	6
Lifetime smoking index	rs329120	31689377	cg21752471_BC11	38
Body mass index	rs329120	30239722	cg21752471_BC11	38
Smoking cessation	rs329120	33082346	cg21752471_BC11	38
Household income (MTAG)	rs329120	31844048	cg21752471_BC11	38
Body mass index	rs329120	28892062	cg21752471_BC11	38
Sex hormone-binding globulin levels adjusted for BMI	rs329120	32042192	cg21752471_BC11	38
Sex hormone-binding globulin levels	rs329120	32042192	cg21752471_BC11	38
Whole brain restricted isotropic diffusion (multivariate analysis)	rs329120	35505052	cg21752471_BC11	38
Smoking initiation	rs329120	36477530	cg21752471_BC11	38
Smoking cessation	rs329120	36477530	cg21752471_BC11	38
Total testosterone levels	rs329120	36653534	cg21752471_BC11	38
Sex hormone-binding globulin levels	rs329120	36653534	cg21752471_BC11	38
Educational attainment	rs329120	35361970	cg21752471_BC11	38
Whole body fat mass (UKB data field 23100)	rs329120	38538606	cg21752471_BC11	38
Hand grip strength	rs329120	29691431	cg21752471_BC11	38
Educational attainment (years of education)	rs329120	30038396	cg21752471_BC11	38
Smoking cessation (MTAG)	rs329120	30643251	cg21752471_BC11	38
Hemoglobin	rs329120	34594039	cg21752471_BC11	38
Smoking cessation	rs329120	36477530	cg21752471_BC11	38
Body mass index	rs329120	38538606	cg21752471_BC11	38
Idiopathic achalasia	rs1126511	34197731	cg10850215_TC11	3
Hypothyroidism	rs9277348	34594039	cg19990651_TC11	17
Cataract (time to event)	rs1043618	32589924	cg18466674_BC11	38
Blood protein levels	rs2844456	27532455	cg07723114_BC11	32
Chronic obstructive pulmonary disease x current smoker interaction (main effect)	rs2844456	33106845	cg07723114_BC11	32
Chronic obstructive pulmonary disease in non-current smokers	rs2844456	33106845	cg07723114_BC11	32
Chronic obstructive pulmonary disease x current smoker interaction (2df)	rs2844456	33106845	cg07723114_BC11	32
Body mass index	rs2966431	39375568	cg17903019_TC11	36
Schizophrenia	rs76939711	26198764	cg23819669_BC11	40
Multi-trait sex score	rs6899744	37277458	cg18486815_BC11	20
Number of clonal hematopoiesis mutations	rs144844076	34815255	cg23012579_BC11	36
Hematocrit	rs56235845	27863252	cg17509989_BC11	9
Hemoglobin concentration	rs56235845	27863252	cg17509989_BC11	9
Kidney stones	rs56235845	31729369	cg17509989_BC11	9
Hemoglobin levels	rs56235845	32327693	cg17509989_BC11	9
Kidney stone disease	rs56235845	37787550	cg17509989_BC11	9
Kidney stone disease	rs56235845	37787550	cg17509989_BC11	9
Eosinophil counts	rs71550011	34469753	cg17808866_TC11	6
Hemoglobin levels	rs351988	32327693	cg26775538_TC11	4
High light scatter reticulocyte count	rs351988	32888494	cg26775538_TC11	4
Reticulocyte fraction of red cells	rs351988	32888494	cg26775538_TC11	4
Reticulocyte count	rs351988	32888494	cg26775538_TC11	4
Cortical surface area	rs7764016	32193296	cg10911889_BC11	13
Brain morphology (MOSTest)	rs7764016	32665545	cg10911889_BC11	13
Brain morphology (MOSTest)	rs7764016	35164939	cg10911889_BC11	13
Eosinophil percentage of white cells	rs138916184	32888494	cg21585138_BC11	25
Response to gabapentin in female chronic pelvic pain	rs10262371	39258169	cg21043424_BC11	41
High IL-1beta levels in gingival crevicular fluid	rs2723192	30206230	cg24429337_BC11	32
HDL cholesterol levels	rs3732356	32203549	cg24129382_BC11	45
Apolipoprotein A1 levels	rs3732356	32203549	cg24129382_BC11	45
Low-density lipoprotein levels (MTAG)	rs3732356	36376304	cg24129382_BC11	45
Total cholesterol levels	rs3732356	30275531	cg24129382_BC11	45
C-reactive protein levels	rs3732356	35459240	cg24129382_BC11	45
High density lipoprotein cholesterol levels	rs3732356	33462484	cg24129382_BC11	45
Total cholesterol levels	rs3732356	34887591	cg24129382_BC11	45
High density lipoprotein cholesterol levels	rs3732356	34887591	cg24129382_BC11	45
High density lipoprotein cholesterol levels	rs3732356	34887591	cg24129382_BC11	45
HDL cholesterol	rs3732356	34594039	cg24129382_BC11	45
Gamma glutamyl transpeptidase	rs3732356	34594039	cg24129382_BC11	45
Total cholesterol levels (MTAG)	rs3732356	37669986	cg24129382_BC11	45
Triglyceride levels (MTAG)	rs3732356	37669986	cg24129382_BC11	45
High-density lipoprotein levels (MTAG)	rs3732356	37669986	cg24129382_BC11	45
Hip index	rs10991417	34021172	cg14170545_TC11	46
Hip circumference adjusted for BMI	rs10991417	34021172	cg14170545_TC11	46
Brain morphology (MOSTest)	rs6087990	32665545	cg13636640_TC11	31
Cortical surface area (MOSTest)	rs6087990	32665545	cg13636640_TC11	31
Ulcerative colitis	rs6087990	26192919	cg13636640_TC11	31
Gamma glutamyl transferase levels	rs6087990	38632349	cg13636640_TC11	31
Mean corpuscular hemoglobin	rs17194474	32888494	cg05664039_TC11	44
Adrenomedullin levels	rs9264664	33067605	cg18020334_BC11	16
Itch intensity from mosquito bite adjusted by bite size	rs9264962	28199695	cg05419812_BC11	2
Reticulocyte fraction of red cells	rs2844519	32888494	cg26990733_BC11	35
Serum alkaline phosphatase levels	rs73195298	33462484	cg14702231_TC11	42
X-12221 levels	rs562329399	36357675	cg21548116_TC11	40
Growth-regulated protein alpha levels	rs74544699	27989323	cg19170015_BC11	33
Blood protein levels in cardiovascular risk	rs74544699	28369058	cg19170015_BC11	33
C-X-C motif chemokine 1 levels	rs74544699	36349687	cg19170015_BC11	33
Growth-regulated alpha protein levels	rs74544699	36168886	cg19170015_BC11	33
C-X-C motif chemokine 1 levels	rs3117604	33067605	cg19170015_BC11	46
Growth-regulated alpha protein levels	rs3117604	36168886	cg19170015_BC11	46
CXCL1 protein levels	rs3117604	38565889	cg19170015_BC11	46
Male-pattern baldness	rs1800189	30573740	cg17682585_TC11	49
Lung function (FVC)	rs4764623	30595370	cg17235265_BC11	30
Spline residuals of log white blood cell count in acute lymphoblastic leukemia	rs144078525	35316565	cg17644267_BC11	42
Height	rs7256735	36224396	cg23906017_TC11	29
Height	rs7094145	39134668	cg14581951_BC11	31
Educational attainment	rs555621092	35361970	cg02580471_BC11	22
Cystatin C levels	rs6075967	33462484	cg25071042_BC11	5
Facial morphology	rs7738892	31763980	cg09466930_BC11	46
Height	rs10906841	36224396	cg14715392_BC11	9
Height	rs606894	36224396	cg09606576_TC11	2
Triglyceride levels	rs79035076	35884923	cg12262377_BC11	48
Lymphocyte percentage of white cells	rs7248169	32888494	cg24170752_BC11	37
Neutrophil percentage of white cells	rs7248169	32888494	cg24170752_BC11	37
Neutrophil-to-lymphocyte ratio	rs7248169	34469753	cg24170752_BC11	37
Neutrophils and lymphocytes in blood (confirmatory factor analysis Factor 35)	rs7248169	38965376	cg24170752_BC11	37
Schizophrenia	rs4711350	26198764	cg09393641_TC11	42
Schizophrenia	rs4711350	30285260	cg09393641_TC11	42
Hemoglobin A1c levels	rs60353775	34594039	cg18547142_BC11	11
Body mass index (MTAG)	rs3850422	36376304	cg19938072_BC11	9
Body mass index	rs3850422	39375568	cg19938072_BC11	9
Nonalcoholic fatty liver disease (imputed)	rs924202	35047847	cg00295731_BC11	27
Gamma glutamyl transferase levels	rs924202	33462484	cg00295731_BC11	27
Body mass index	rs7247614	30239722	cg24414782_BC11	12
Colorectal cancer	rs11812485	29228715	cg15306650_BC11	24
Height	rs2232725	36224396	cg21626428_BC11	39
Height	rs7635846	36224396	cg05372469_TC11	4
Survival in microsatellite instability low/stable colorectal cancer	rs17087282	25866641	cg10307240_BC11	13
Breast cancer (menopausal hormone therapy interaction)	rs9579199	24080446	cg18555692_BC11	18
Red cell distribution width	rs73077157	30595370	cg08031869_BC11	7
Household income (MTAG)	rs73077157	31844048	cg08031869_BC11	7
Household income	rs73077157	31844048	cg08031869_BC11	7
Insomnia	rs73077157	35835914	cg08031869_BC11	7
Verbal-numerical reasoning	rs4949457	32895543	cg00527794_TC11	45
Body mass index	rs4949457	36581621	cg00527794_TC11	45
Bactericidal permeability-increasing protein levels	rs5743509	34814699	cg25239091_TC11	5
COVID-19 (hospitalized covid vs population)	rs74773246	33888907	cg19064418_BC11	31
COVID-19 (covid respiratory support vs population)	rs74773246	33888907	cg19064418_BC11	31
Total cholesterol levels	rs11704481	35884923	cg26453471_TC11	40
Birth weight	rs11704481	31043758	cg26453471_TC11	40
Red cell distribution width	rs927292	30595370	cg19639589_BC11	53
Total testosterone levels	rs10147094	32042192	cg19939161_BC11	20
Dihexosylceramide (d18:1/24:1) levels	rs12610818	35668104	cg23863349_TC11	27
Body mass index (MTAG)	rs2302351	36376304	cg17614974_BC11	30
Schizophrenia	rs4663624	35396580	cg04331298_BC11	29
Vaginal microbiome dominance (s_Lactobacillus iners)	rs56335981	34282934	cg09476380_TC11	3
Waist-hip index	rs6063031	34021172	cg25328246_BC11	13
A body shape index	rs6063031	34021172	cg25328246_BC11	13
Waist-to-hip ratio adjusted for BMI	rs6063031	34021172	cg25328246_BC11	13
Hip index	rs6063031	34021172	cg25328246_BC11	13
Hip circumference adjusted for BMI	rs6063031	34021172	cg25328246_BC11	13
Waist circumference adjusted for body mass index	rs6063031	34021172	cg25328246_BC11	13
Femoral neck width	rs6063031	38477772	cg25328246_BC11	13
Alanine aminotransferase levels	rs35842750	33462484	cg13313129_BC11	46
Aspartate aminotransferase to alanine aminotransferase ratio	rs35842750	33462484	cg13313129_BC11	46
Serum alkaline phosphatase levels	rs6647476	34594039	cg27205226_TC11	7
Mean corpuscular hemoglobin	rs5785903	32888494	cg15175191_BC11	10
Mean corpuscular volume	rs5785903	32888494	cg15175191_BC11	10
Mean spheric corpuscular volume	rs5785903	32888494	cg15175191_BC11	10
DFFA/HCLS1 protein level ratio	rs76419011	38412862	cg00100218_BC11	33
Atopic asthma	rs10305290	31669095	cg22523502_TC11	52
Aspartate aminotransferase levels	rs660173	33547301	cg01200470_BC11	28
Platelet large cell ratio	rs7491	37596262	cg00438503_BC11	10
Systolic blood pressure	rs3733215	30578418	cg06134830_BC11	20
Heart rate in heart failure with reduced ejection fraction	rs74056623	31113495	cg00336750_BC11	44
Multiple sclerosis	rs12588969	31604244	cg19999856_TC11	15
Interleukin-12 subunit beta levels	rs12588969	37563310	cg19999856_TC11	15
Red blood cell count	rs475377	30595370	cg17126234_BC11	30
mRNA-decapping enzyme 1A levels	rs4458293	34648354	cg25980721_TC11	23
